1|123||65.2|9/04/2021 16:34:06|True|20392
2|123|,03-SopaRes,2,20,,,|20|9/04/2021 16:35:31|True|120
3|123|,03-SopaRes,2,20,,,|20|9/04/2021 16:37:16|True|19423
4|123|,03-SopaRes,4,40,,,|40|9/04/2021 17:29:17|True|17530
5|1234|,22-Vino Tinto,1,80,,,|80|9/04/2021 20:28:12|True|5564
6|3456|,03-SopaRes,2,20,,,|20|9/04/2021 21:44:29|True|42050
7|3456|,22-Vino Tinto,3,240,,,|240|9/04/2021 22:14:12|True|40271
8|3456|,22-Vino Tinto,3,240,,,|240|10/04/2021 10:20:36|True|1650
9|3456|,22-Vino Tinto,2,160,,,|160|10/04/2021 10:20:58|True|1631
10|5678|,01-E,4,180,,,|180|10/04/2021 10:21:18|True|1615
